path,file_type,size_bytes,last_modified_iso,classification,reason,referenced_by
rt_out/scripts/perception/60_select_perception_frames.py,python,10075,2026-05-22T13:30:45.674238+03:00,main_candidate,Selects the 20 source frames that anchor the perception pilot.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/61_build_perception_instance_registry.py,python,22986,2026-05-22T13:30:45.674417+03:00,main_candidate,Builds the stable object/semantic registry used by the active panoptic pilot.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/62_build_labeled_gazebo_world.py,python,56019,2026-05-26T17:42:20.036275+03:00,main_candidate,Generates the active panoptic Gazebo world and fixed camera rig used by capture workflows.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/63_capture_panoptic_topics.py,python,17013,2026-05-28T16:31:26.684332+03:00,main_candidate,Captures the active semantic panoptic outputs that remain part of the indexed perception pilot.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/64_validate_panoptic_capture.py,python,28101,2026-05-28T16:43:13.095647+03:00,main_candidate,Validates the active panoptic capture outputs that the indexed pilot still depends on.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/65_build_panoptic_dataset_index.py,python,51978,2026-05-28T16:31:33.948461+03:00,main_candidate,"Builds the central linkage index that ties selected frames, panoptic samples, RT rows, wireless labels, and final labeled point clouds together.",docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/70_capture_synchronized_stable_instance_rgb_pcl_topics.py,python,16409,2026-05-26T17:44:36.500656+03:00,main_candidate,"Captures synchronized stable-instance labels, RGB, and direct PCL groups for the final labeled export path.",docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/71_validate_synchronized_stable_instance_rgb_pcl_capture.py,python,25675,2026-05-26T17:46:30.064974+03:00,main_candidate,Validates the synchronized stable-instance label plus RGB/PCL capture path.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/72_build_labeled_colorized_pointclouds.py,python,26343,2026-05-26T18:14:46.152493+03:00,main_candidate,Builds the final strict labeled RGB point clouds with fields x y z red green blue class_label instance_id.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/73_validate_labeled_colorized_pointclouds.py,python,21073,2026-05-26T18:16:21.124793+03:00,main_candidate,Validates the final fully labeled RGB point clouds used as the current main dataset product.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/90_cleanup_inventory_dry_run.py,python,38341,2026-05-28T16:43:30.626031+03:00,diagnostic_keep,Inventory-only dry-run helper for cleanup planning; not a generation step in the data pipeline.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/91_run_gazebo_capture_helper.py,python,16872,2026-05-28T16:17:44.594462+03:00,diagnostic_keep,Optional launcher helper for running the panoptic or stable-instance Gazebo worlds; useful for operations but not part of the numbered generation path.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/92_preview_panoptic_capture.py,python,10595,2026-05-22T13:30:45.674787+03:00,diagnostic_keep,"Qualitative preview builder for panoptic captures; useful reference output, not core synchronized PCL path.",docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/93_extract_camera_rig_from_gazebo_pose.py,python,6899,2026-05-22T13:30:45.674939+03:00,diagnostic_keep,Optional camera-tuning extractor kept for rig iteration and debugging.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py; rt_out/scripts/perception/README.md
rt_out/scripts/perception/README.md,markdown,4498,2026-05-28T18:08:00.400354+03:00,docs_or_other,Perception workflow documentation rather than a pipeline executable.,docs/script_reference.md; rt_out/scripts/perception/90_cleanup_inventory_dry_run.py
